%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
334796500000,805,334795500000,fcu,-0.0500774271786,0.00131531129591,0.978236138821,0.000215002305418,-0.000110291263843,-0.735469757254,0.677557508832
335035500000,806,335034500000,fcu,-0.051066275686,0.00245810579509,0.973013043404,0.00050257310307,0.000298178605851,-0.735468394947,0.677558778664
335275500000,807,335274500000,fcu,-0.0515233017504,0.00376655906439,0.97146832943,0.000162488614559,-7.63887221232e-05,-0.735462815331,0.677565063317
335515500000,808,335514500000,fcu,-0.0518246591091,0.00549339875579,0.971954584122,7.75424678371e-06,-0.000575236970302,-0.735455478409,0.677572806657
335754500000,809,335754500000,fcu,-0.0543587803841,0.00659141829237,0.971548497677,0.00030257668167,-0.000464967729199,-0.73544966766,0.677579130871
335995500000,810,335995500000,fcu,-0.0570947602391,0.0071241222322,0.97105717659,0.000110397358233,-9.97441757686e-05,-0.735448515962,0.677580591689
336234500000,811,336234500000,fcu,-0.0589140541852,0.00753296306357,0.971498131752,-0.000430189829548,-2.50926102646e-05,-0.735443669677,0.677585731136
336473500000,812,336474500000,fcu,-0.0603430569172,0.00796843133867,0.976275980473,-0.000158358299823,-0.000440482262242,-0.735438607539,0.677591200828
336714500000,813,336714500000,fcu,-0.0615233555436,0.00825917162001,0.975404798985,-2.01691304553e-05,-0.000425182341987,-0.735432320516,0.677598052501
336955500000,814,336955500000,fcu,-0.0622416064143,0.00834527891129,0.972019314766,-0.000115793559952,-0.000258456269269,-0.735424806355,0.677606282431
337194500000,815,337194500000,fcu,-0.0626607909799,0.00832953024656,0.972656011581,-9.03432264687e-05,-0.000387137790108,-0.735417962331,0.677613652934
337435500000,816,337435500000,fcu,-0.0628600865602,0.00825872924179,0.973758101463,-0.000137314888948,-0.000329469250061,-0.735413224682,0.677618817299
337674500000,817,337674500000,fcu,-0.0628737062216,0.00826388131827,0.968687832355,-0.000214162157941,-0.000462152702782,-0.735406684498,0.677625817797
337914500000,818,337914500000,fcu,-0.0626821368933,0.00987148750573,0.963862657547,-0.000282431793601,-0.000397722222193,-0.735396866673,0.677636488493
338155500000,819,338155500000,fcu,-0.0623785071075,0.0121051054448,0.964544296265,-4.67727827055e-05,-0.000180568457182,-0.735390743193,0.677643283766
338394500000,820,338394500000,fcu,-0.0620494894683,0.0135262599215,0.968551516533,0.000249705987166,0.00010747738909,-0.735380011208,0.677654901268
338634500000,821,338634500000,fcu,-0.0608231574297,0.0143323512748,0.967852532864,0.000242319888308,-4.02059100772e-05,-0.735368145168,0.677667787885
338874500000,822,338874500000,fcu,-0.0577530637383,0.0156889278442,0.970563471317,4.4337910893e-05,-0.000146912199813,-0.735356176415,0.677680802634
339115500000,823,339114500000,fcu,-0.055357966572,0.0176937952638,0.97379130125,0.000551834405703,-0.000629189599789,-0.735334109573,0.677704247366
339355500000,824,339354500000,fcu,-0.0533522702754,0.0185166299343,0.974904239178,0.000920477943401,-0.000365557393498,-0.735310929363,0.677729190936
339595500000,825,339595500000,fcu,-0.0521900504828,0.0185985546559,0.973060965538,0.000682088144647,-0.000327697983176,-0.735288654174,0.677753659092
339835500000,826,339834500000,fcu,-0.0502598509192,0.0185293629766,0.969986379147,0.000474076612308,-0.000488107314267,-0.735262714682,0.677781880402
340075500000,827,340074500000,fcu,-0.0487279295921,0.018436267972,0.969105422497,0.000469906990221,-0.000618343722512,-0.735239911773,0.677806512933
340314500000,828,340314500000,fcu,-0.0477606914937,0.0194195136428,0.964610159397,0.000547257305246,-0.000685304088465,-0.735209470623,0.677839409575
340555500000,829,340555500000,fcu,-0.0471372529864,0.0210075173527,0.969752967358,0.000424608536334,-0.000489598107429,-0.735177223625,0.677874641703
340794500000,830,340794500000,fcu,-0.0466947369277,0.0221583303064,0.97044724226,0.000629028984508,-0.000329252504677,-0.73514280341,0.677911907632
341034500000,831,341034500000,fcu,-0.0462997220457,0.022854976356,0.966061532497,0.000550545757057,-0.000218617118533,-0.735109305694,0.677948344484
341274500000,832,341274500000,fcu,-0.0460083819926,0.0231969226152,0.963225543499,0.000558806716265,-0.000239834999778,-0.735073738483,0.677986894569
341514500000,833,341514500000,fcu,-0.0459594726563,0.0233384016901,0.967055022717,0.000579319741586,-0.000366775365326,-0.735037639947,0.678025956528
341754500000,834,341754500000,fcu,-0.0471576265991,0.0261462833732,0.967360913754,0.00052059991572,-0.000444035352925,-0.735007853633,0.678058247428
341995500000,835,341995500000,fcu,-0.0484559386969,0.0292762946337,0.968304097652,0.00047840245205,-3.08041679096e-05,-0.734974031613,0.678095084068
342235500000,836,342235500000,fcu,-0.0492231361568,0.031319629401,0.965753316879,0.00066207818034,0.000559706203752,-0.734944197734,0.678127034263
342475500000,837,342474500000,fcu,-0.0496705509722,0.0324560813606,0.968827784061,0.000692727166394,0.000377712157373,-0.734910935396,0.678163176896
342714500000,838,342714500000,fcu,-0.0500336885452,0.0332417413592,0.971256613731,0.000566696915929,6.34754598866e-05,-0.734879520444,0.678197438256
342954500000,839,342954500000,fcu,-0.0504375994205,0.0338198766112,0.972756683826,0.000589202425776,-0.000122523357627,-0.734853080135,0.678226059987
343194500000,840,343194500000,fcu,-0.0511924400926,0.0340493023396,0.970999717712,0.000662829230182,-2.35320172311e-05,-0.734824300992,0.678257183357
343435500000,841,343435500000,fcu,-0.0541491396725,0.0341941267252,0.971272170544,0.00046393650647,-7.85397256859e-05,-0.734789940603,0.678294568593
